
|N  |clock_time|AVERAGE_OB  |MAX_OB|MIN_OB|
___________________________________________
|20 |0.000002  |111.120000  |153   |72    |
|25 |0.000003  |169.460000  |214   |128   |
|30 |0.000004  |245.640000  |310   |186   |
|35 |0.000005  |340.440000  |403   |228   |
|40 |0.000006  |427.980000  |520   |337   |
|45 |0.000008  |544.560000  |693   |403   |
|50 |0.000009  |657.520000  |780   |567   |
|55 |0.000011  |788.460000  |916   |676   |
|60 |0.000013  |942.520000  |1165  |803   |
|65 |0.000006  |1079.340000 |1266  |901   |
|70 |0.000006  |1278.440000 |1441  |1058  |
|75 |0.000006  |1470.760000 |1766  |1250  |
|80 |0.000007  |1634.440000 |1970  |1340  |
|85 |0.000009  |1880.340000 |2165  |1587  |
|90 |0.000009  |2060.220000 |2405  |1763  |
|95 |0.000010  |2352.580000 |2756  |2050  |
|100|0.000011  |2595.640000 |2945  |2336  |
|105|0.000012  |2821.780000 |3224  |2337  |
|110|0.000014  |3115.280000 |3601  |2743  |
|115|0.000016  |3365.140000 |3786  |3023  |
|120|0.000016  |3732.260000 |4165  |3408  |
|125|0.000016  |3996.720000 |4613  |3551  |
|130|0.000018  |4329.440000 |4883  |3493  |
|135|0.000019  |4653.480000 |5364  |4087  |
|140|0.000020  |5062.900000 |5667  |4577  |
|145|0.000022  |5390.860000 |5977  |4597  |
|150|0.000023  |5687.260000 |6319  |5036  |
|155|0.000024  |6090.280000 |6643  |5589  |
|160|0.000025  |6540.120000 |7492  |5858  |
|165|0.000027  |6980.040000 |8246  |6218  |
|170|0.000036  |7407.980000 |8518  |6486  |
|175|0.000034  |7813.200000 |8490  |6876  |
|180|0.000033  |8261.020000 |9032  |7097  |
|185|0.000033  |8601.640000 |9375  |7698  |
|190|0.000037  |9302.600000 |10513 |8354  |
|195|0.000037  |9685.600000 |11243 |8790  |
|200|0.000041  |10232.420000|11119 |9014  |
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
