
|N  |clock_time|AVERAGE_OB  |MAX_OB|MIN_OB|
___________________________________________
|20 |0.000003  |115.760000  |164   |87    |
|25 |0.000004  |179.560000  |220   |143   |
|30 |0.000005  |243.880000  |282   |192   |
|35 |0.000006  |331.440000  |402   |259   |
|40 |0.000007  |427.060000  |554   |314   |
|45 |0.000010  |538.480000  |670   |372   |
|50 |0.000011  |670.900000  |774   |542   |
|55 |0.000011  |798.040000  |915   |619   |
|60 |0.000004  |946.020000  |1065  |752   |
|65 |0.000005  |1110.140000 |1283  |989   |
|70 |0.000006  |1284.420000 |1432  |1106  |
|75 |0.000006  |1455.340000 |1729  |1188  |
|80 |0.000007  |1631.480000 |1992  |1277  |
|85 |0.000008  |1873.000000 |2112  |1562  |
|90 |0.000009  |2081.040000 |2380  |1715  |
|95 |0.000010  |2341.700000 |2614  |2000  |
|100|0.000011  |2605.360000 |3181  |2210  |
|105|0.000015  |2820.960000 |3181  |2322  |
|110|0.000016  |3075.080000 |3440  |2607  |
|115|0.000020  |3448.820000 |3891  |3113  |
|120|0.000015  |3691.880000 |4236  |3087  |
|125|0.000016  |3995.600000 |4498  |3543  |
|130|0.000018  |4308.780000 |4849  |3910  |
|135|0.000019  |4631.100000 |5258  |4139  |
|140|0.000020  |5027.600000 |5534  |4332  |
|145|0.000021  |5332.920000 |6068  |4726  |
|150|0.000023  |5711.600000 |6465  |5009  |
|155|0.000025  |6142.260000 |6747  |5365  |
|160|0.000026  |6541.900000 |7170  |5986  |
|165|0.000027  |6907.400000 |7676  |6164  |
|170|0.000033  |7273.740000 |8180  |6428  |
|175|0.000043  |7826.880000 |8555  |7003  |
|180|0.000038  |8208.920000 |9364  |7138  |
|185|0.000038  |8718.280000 |9586  |7586  |
|190|0.000036  |9238.600000 |10278 |8142  |
|195|0.000041  |9678.160000 |10588 |8742  |
|200|0.000038  |10131.200000|11042 |9212  |
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
