
|N   |clock_time|AVERAGE_OB    |MAX_OB  |MIN_OB  |
__________________________________________________
|1000|0.011776  |248793.800000 |264587  |235395  |
|1002|0.011473  |249917.100000 |255825  |240946  |
|1004|0.011498  |251868.200000 |261974  |244402  |
|1006|0.011581  |255546.000000 |262062  |246220  |
|1008|0.011439  |256560.800000 |263370  |250992  |
|1010|0.011508  |256248.800000 |264070  |248302  |
|1012|0.011598  |254697.600000 |260359  |248067  |
|1014|0.011726  |257012.700000 |264754  |247108  |
|1016|0.011973  |261647.300000 |274172  |255854  |
|1018|0.011877  |258533.100000 |265057  |252046  |
|1020|0.012070  |261524.100000 |270775  |251284  |
|1022|0.011603  |260567.500000 |266022  |255009  |
|1024|0.011877  |260975.600000 |271059  |253424  |
|1026|0.012044  |264125.100000 |272506  |258789  |
|1028|0.012147  |266014.800000 |272909  |252351  |
|1030|0.012028  |266928.200000 |277205  |254627  |
|1032|0.012053  |268570.200000 |277827  |255949  |
|1034|0.012183  |267570.000000 |274797  |261915  |
|1036|0.012281  |270304.900000 |278687  |261234  |
|1038|0.012033  |268795.800000 |273593  |264058  |
|1040|0.012296  |269814.900000 |276433  |258656  |
|1042|0.012446  |273419.000000 |278373  |267472  |
|1044|0.012347  |276420.600000 |288712  |266591  |
|1046|0.012612  |275884.100000 |282294  |262226  |
|1048|0.012667  |273957.500000 |282269  |266448  |
|1050|0.014474  |277690.100000 |286753  |262876  |
|1052|0.014034  |276919.400000 |285737  |264818  |
|1054|0.012620  |277644.900000 |284906  |272300  |
|1056|0.012384  |277692.700000 |285614  |274395  |
|1058|0.014856  |282722.300000 |293047  |273191  |
|1060|0.013148  |284040.900000 |288971  |279348  |
|1062|0.012694  |280821.500000 |288804  |275713  |
|1064|0.012869  |282154.100000 |289060  |268441  |
|1066|0.015713  |286486.300000 |293991  |277531  |
|1068|0.014468  |288236.700000 |299229  |274443  |
|1070|0.013311  |291715.100000 |299515  |283883  |
|1072|0.013026  |290332.700000 |305510  |280379  |
|1074|0.013261  |288419.500000 |302372  |277564  |
|1076|0.012943  |288151.300000 |293903  |281873  |
|1078|0.013278  |289412.200000 |300787  |272826  |
|1080|0.013118  |293221.300000 |298812  |285831  |
|1082|0.013611  |293323.600000 |300405  |282402  |
|1084|0.013322  |292283.200000 |298108  |289389  |
|1086|0.013277  |294563.300000 |303992  |281296  |
|1088|0.013342  |293582.700000 |301918  |286108  |
|1090|0.013672  |299598.800000 |309323  |292581  |
|1092|0.013621  |300907.500000 |311382  |291149  |
|1094|0.013241  |299752.500000 |310801  |287535  |
|1096|0.013795  |300550.900000 |308404  |292101  |
|1098|0.013611  |305053.600000 |311377  |299008  |
|1100|0.013806  |303237.900000 |315298  |288109  |
|1102|0.013494  |302320.900000 |314285  |290418  |
|1104|0.013976  |305372.800000 |315581  |295489  |
|1106|0.013637  |308042.600000 |315415  |295799  |
|1108|0.013774  |306346.000000 |315354  |302369  |
|1110|0.014060  |308074.800000 |321352  |298597  |
|1112|0.013690  |309400.500000 |316965  |297968  |
|1114|0.014188  |310713.000000 |319180  |301791  |
|1116|0.013816  |307958.000000 |321395  |292270  |
|1118|0.014301  |312390.300000 |316500  |303103  |
|1120|0.014624  |317470.800000 |323706  |309152  |
|1122|0.014311  |316477.400000 |323046  |306307  |
|1124|0.014272  |318125.100000 |326819  |308628  |
|1126|0.014587  |319840.700000 |330047  |307373  |
|1128|0.014243  |318636.600000 |331576  |309341  |
|1130|0.014768  |322578.900000 |335170  |309946  |
|1132|0.014461  |322588.700000 |335842  |316255  |
|1134|0.014676  |322863.000000 |330466  |315539  |
|1136|0.014447  |324068.300000 |332475  |316642  |
|1138|0.014892  |327128.600000 |339797  |317252  |
|1140|0.014794  |325848.100000 |335164  |317835  |
|1142|0.014797  |328276.400000 |344130  |318483  |
|1144|0.015290  |329103.600000 |338840  |323159  |
|1146|0.014970  |326840.300000 |342130  |312468  |
|1148|0.014864  |331207.900000 |341023  |316030  |
|1150|0.014739  |329875.300000 |342240  |312218  |
|1152|0.014806  |330786.000000 |336982  |317856  |
|1154|0.014904  |333857.300000 |343359  |326630  |
|1156|0.015155  |335121.500000 |340235  |329046  |
|1158|0.014984  |334958.200000 |344869  |321912  |
|1160|0.015227  |337738.800000 |350692  |323352  |
|1162|0.015188  |340438.900000 |355274  |331109  |
|1164|0.015250  |337546.800000 |345892  |326324  |
|1166|0.015331  |340384.300000 |349493  |326870  |
|1168|0.015618  |346438.300000 |357315  |338376  |
|1170|0.015410  |341587.700000 |351550  |326348  |
|1172|0.015423  |342093.900000 |352169  |327220  |
|1174|0.015330  |344749.100000 |355472  |334596  |
|1176|0.015824  |348680.700000 |359901  |335267  |
|1178|0.015397  |344495.700000 |358028  |332741  |
|1180|0.015572  |345758.200000 |357953  |334359  |
|1182|0.015548  |350086.000000 |363138  |338387  |
|1184|0.015548  |349230.800000 |358407  |339671  |
