|N  |clock_time|AVERAGE_OB  |MAX_OB|MIN_OB|
|10 |0,000001  |22,656100   |25    |16    |
|11 |0,000001  |26,304300   |29    |19    |
|12 |0,000001  |29,934200   |33    |23    |
|13 |0,000001  |33,837400   |37    |25    |
|14 |0,000001  |37,721300   |41    |30    |
|15 |0,000001  |41,686200   |45    |32    |
|16 |0,000001  |45,690400   |49    |37    |
|17 |0,000001  |50,067200   |54    |42    |
|18 |0,000001  |54,525700   |59    |44    |
|19 |0,000001  |59,006000   |64    |45    |
|20 |0,000002  |63,497700   |69    |53    |
|21 |0,000002  |68,084400   |74    |57    |
|22 |0,000002  |72,709000   |79    |62    |
|23 |0,000002  |77,393000   |84    |65    |
|24 |0,000002  |82,004400   |89    |70    |
|25 |0,000002  |86,892300   |94    |72    |
|26 |0,000002  |91,770000   |99    |79    |
|27 |0,000002  |96,657800   |104   |85    |
|28 |0,000002  |101,558900  |109   |87    |
|29 |0,000003  |106,558500  |114   |93    |
|30 |0,000003  |111,508800  |119   |99    |
|31 |0,000003  |116,505000  |124   |102   |
|32 |0,000003  |121,559400  |129   |108   |
|33 |0,000003  |126,853400  |135   |112   |
|34 |0,000003  |132,318900  |141   |118   |
|35 |0,000003  |137,723200  |147   |119   |
|36 |0,000003  |143,105700  |152   |129   |
|37 |0,000004  |148,670500  |158   |133   |
|38 |0,000004  |154,093300  |164   |139   |
|39 |0,000004  |159,576200  |170   |143   |
|40 |0,000004  |165,111700  |175   |147   |
|41 |0,000004  |170,761500  |182   |156   |
|42 |0,000004  |176,380200  |188   |162   |
|43 |0,000004  |181,973600  |193   |166   |
|44 |0,000004  |187,565100  |198   |168   |
|45 |0,000004  |193,199700  |206   |175   |
|46 |0,000004  |198,832600  |210   |183   |
|47 |0,000005  |204,514800  |217   |183   |
|48 |0,000005  |210,179400  |222   |194   |
|49 |0,000005  |216,013000  |227   |200   |
|50 |0,000005  |221,827700  |236   |203   |
|51 |0,000005  |227,816100  |240   |210   |
|52 |0,000005  |233,656700  |245   |217   |
|53 |0,000005  |239,500700  |252   |221   |
|54 |0,000005  |245,386700  |258   |228   |
|55 |0,000006  |251,311600  |263   |235   |
|56 |0,000006  |257,204800  |270   |238   |
|57 |0,000006  |263,144200  |276   |243   |
|58 |0,000006  |269,124500  |283   |252   |
|59 |0,000006  |275,061900  |288   |257   |
|60 |0,000006  |281,097400  |294   |262   |
|61 |0,000006  |287,052200  |299   |270   |
|62 |0,000006  |293,026200  |306   |274   |
|63 |0,000006  |299,017500  |311   |281   |
|64 |0,000006  |305,098700  |319   |287   |
|65 |0,000007  |311,415300  |325   |288   |
|66 |0,000007  |317,844100  |331   |298   |
|67 |0,000007  |324,290700  |337   |305   |
|68 |0,000007  |330,625800  |345   |312   |
|69 |0,000007  |337,205600  |352   |313   |
|70 |0,000007  |343,590300  |358   |322   |
|71 |0,000007  |349,975900  |365   |327   |
|72 |0,000008  |356,460200  |371   |336   |
|73 |0,000008  |362,877000  |377   |340   |
|74 |0,000008  |369,325100  |385   |349   |
|75 |0,000008  |375,947300  |391   |351   |
|76 |0,000009  |382,298000  |398   |358   |
|77 |0,000009  |388,775100  |405   |360   |
|78 |0,000009  |395,316200  |412   |369   |
|79 |0,000009  |401,785000  |419   |380   |
|80 |0,000008  |408,265300  |425   |387   |
|81 |0,000009  |414,972400  |433   |394   |
|82 |0,000009  |421,472100  |438   |396   |
|83 |0,000009  |428,057400  |446   |405   |
|84 |0,000010  |434,615500  |452   |410   |
|85 |0,000011  |441,333100  |459   |418   |
|86 |0,000011  |447,906600  |467   |428   |
|87 |0,000009  |454,645700  |471   |432   |
|88 |0,000010  |461,182700  |478   |435   |
|89 |0,000010  |467,911300  |490   |444   |
|90 |0,000010  |474,424500  |491   |450   |
|91 |0,000010  |481,204700  |498   |453   |
|92 |0,000010  |487,843600  |507   |463   |
|93 |0,000010  |494,437600  |513   |470   |
|94 |0,000012  |501,068300  |518   |476   |
|95 |0,000015  |507,779900  |525   |484   |
|96 |0,000014  |514,391700  |533   |491   |
|97 |0,000012  |521,356000  |541   |497   |
|98 |0,000012  |528,181200  |547   |503   |
|99 |0,000012  |535,075500  |553   |513   |
|100|0,000012  |541,810700  |561   |516   |
