
|N  |clock_time|AVERAGE_OB  |MAX_OB|MIN_OB|
|10 |0,000001  |23,456400   |44    |18    |
|11 |0,000001  |27,497000   |50    |21    |
|12 |0,000001  |31,661200   |58    |24    |
|13 |0,000001  |35,976400   |67    |27    |
|14 |0,000001  |40,489900   |76    |30    |
|15 |0,000001  |45,117000   |89    |33    |
|16 |0,000001  |49,909300   |98    |37    |
|17 |0,000001  |54,823600   |100   |41    |
|18 |0,000001  |59,825600   |106   |45    |
|19 |0,000001  |64,815200   |111   |49    |
|20 |0,000001  |70,166000   |130   |53    |
|21 |0,000001  |75,426500   |140   |57    |
|22 |0,000001  |80,909900   |143   |62    |
|23 |0,000001  |86,405000   |151   |65    |
|24 |0,000001  |91,837900   |167   |70    |
|25 |0,000001  |97,420600   |165   |75    |
|26 |0,000001  |103,042100  |181   |79    |
|27 |0,000002  |108,757200  |198   |84    |
|28 |0,000002  |114,784500  |210   |87    |
|29 |0,000002  |120,321300  |209   |93    |
|30 |0,000002  |126,596900  |225   |97    |
|31 |0,000002  |132,759200  |231   |101   |
|32 |0,000002  |138,983400  |292   |106   |
|33 |0,000002  |145,213200  |246   |112   |
|34 |0,000002  |151,545300  |248   |117   |
|35 |0,000002  |157,365800  |260   |123   |
|36 |0,000002  |163,990400  |289   |127   |
|37 |0,000002  |170,012500  |339   |132   |
|38 |0,000002  |176,230800  |329   |139   |
|39 |0,000002  |183,010200  |310   |143   |
|40 |0,000002  |190,299400  |306   |149   |
|41 |0,000003  |196,415700  |325   |153   |
|42 |0,000003  |203,369500  |337   |159   |
|43 |0,000003  |210,021400  |347   |164   |
|44 |0,000003  |216,798900  |355   |168   |
|45 |0,000003  |223,275400  |370   |175   |
|46 |0,000003  |230,140300  |383   |178   |
|47 |0,000003  |237,367600  |398   |181   |
|48 |0,000003  |243,988200  |427   |190   |
|49 |0,000003  |250,283400  |417   |196   |
|50 |0,000003  |258,170400  |415   |203   |
|51 |0,000003  |264,844500  |434   |206   |
|52 |0,000003  |271,704900  |434   |211   |
|53 |0,000003  |279,845900  |478   |220   |
|54 |0,000004  |286,501500  |467   |227   |
|55 |0,000004  |293,571900  |453   |230   |
|56 |0,000004  |300,641000  |475   |236   |
|57 |0,000004  |307,847700  |488   |244   |
|58 |0,000004  |315,319500  |505   |250   |
|59 |0,000004  |323,148000  |523   |251   |
|60 |0,000004  |329,557900  |520   |263   |
|61 |0,000004  |336,845800  |563   |265   |
|62 |0,000004  |344,605500  |597   |274   |
|63 |0,000004  |352,043000  |539   |278   |
|64 |0,000004  |359,962500  |559   |282   |
|65 |0,000004  |367,887500  |600   |291   |
|66 |0,000004  |374,347500  |624   |294   |
|67 |0,000005  |382,330500  |575   |304   |
|68 |0,000005  |390,062600  |605   |308   |
|69 |0,000005  |397,840200  |650   |314   |
|70 |0,000005  |405,601000  |634   |324   |
|71 |0,000005  |413,295900  |753   |326   |
|72 |0,000005  |420,482100  |637   |337   |
|73 |0,000005  |428,528800  |668   |339   |
|74 |0,000005  |436,027900  |747   |350   |
|75 |0,000005  |444,133300  |737   |355   |
|76 |0,000005  |452,548000  |715   |366   |
|77 |0,000005  |459,415000  |691   |368   |
|78 |0,000005  |468,049500  |787   |373   |
|79 |0,000006  |475,091500  |731   |385   |
|80 |0,000006  |484,297500  |802   |388   |
|81 |0,000006  |492,059700  |760   |394   |
|82 |0,000006  |499,168200  |786   |403   |
|83 |0,000006  |507,633500  |910   |404   |
|84 |0,000006  |514,665800  |793   |415   |
|85 |0,000006  |523,310600  |834   |420   |
|86 |0,000006  |531,514600  |822   |423   |
|87 |0,000006  |538,448200  |842   |434   |
|88 |0,000006  |547,686800  |855   |434   |
|89 |0,000006  |555,657900  |828   |452   |
|90 |0,000006  |563,299500  |868   |456   |
|91 |0,000006  |571,274900  |868   |458   |
|92 |0,000007  |580,260800  |891   |467   |
|93 |0,000007  |588,790900  |910   |472   |
|94 |0,000007  |596,535500  |916   |479   |
|95 |0,000007  |605,538600  |949   |488   |
|96 |0,000007  |613,164700  |932   |494   |
|97 |0,000007  |622,161600  |934   |503   |
|98 |0,000007  |629,956400  |936   |506   |
|99 |0,000007  |638,810200  |999   |505   |
|100|0,000007  |645,651000  |959   |518   |

