
|N  |clock_time|AVERAGE_OB  |MAX_OB|MIN_OB|
|10 |0,000001  |23,463900   |44    |18    |
|11 |0,000001  |27,461600   |51    |21    |
|12 |0,000001  |31,621800   |59    |24    |
|13 |0,000001  |35,916200   |69    |27    |
|14 |0,000001  |40,534500   |74    |30    |
|15 |0,000001  |45,152900   |91    |34    |
|16 |0,000001  |49,944500   |85    |37    |
|17 |0,000001  |54,675900   |102   |41    |
|18 |0,000001  |59,882200   |107   |45    |
|19 |0,000001  |64,956200   |124   |49    |
|20 |0,000001  |70,068500   |122   |53    |
|21 |0,000001  |75,467300   |130   |57    |
|22 |0,000001  |80,574900   |144   |61    |
|23 |0,000001  |86,160100   |168   |65    |
|24 |0,000001  |91,770700   |162   |69    |
|25 |0,000002  |97,384000   |167   |74    |
|26 |0,000002  |103,081200  |193   |79    |
|27 |0,000002  |108,678100  |185   |83    |
|28 |0,000002  |114,915900  |199   |87    |
|29 |0,000002  |120,723600  |203   |93    |
|30 |0,000002  |126,590400  |206   |97    |
|31 |0,000002  |132,535000  |234   |101   |
|32 |0,000002  |138,757300  |240   |106   |
|33 |0,000002  |145,037000  |233   |111   |
|34 |0,000002  |151,250700  |284   |116   |
|35 |0,000002  |157,587900  |263   |121   |
|36 |0,000002  |164,095400  |277   |126   |
|37 |0,000002  |170,218000  |281   |131   |
|38 |0,000002  |176,873700  |288   |138   |
|39 |0,000003  |183,297500  |324   |143   |
|40 |0,000003  |189,621000  |333   |146   |
|41 |0,000003  |196,295900  |338   |153   |
|42 |0,000003  |203,157600  |333   |156   |
|43 |0,000003  |209,975900  |354   |164   |
|44 |0,000003  |216,180100  |381   |168   |
|45 |0,000003  |223,697100  |376   |171   |
|46 |0,000003  |230,302300  |394   |182   |
|47 |0,000003  |236,674200  |412   |184   |
|48 |0,000003  |243,690500  |404   |192   |
|49 |0,000003  |250,989600  |417   |196   |
|50 |0,000003  |257,522400  |421   |199   |
|51 |0,000003  |265,049200  |425   |206   |
|52 |0,000004  |272,634600  |436   |214   |
|53 |0,000004  |279,285900  |465   |218   |
|54 |0,000004  |286,380000  |473   |223   |
|55 |0,000004  |292,665500  |467   |234   |
|56 |0,000004  |300,506300  |464   |236   |
|57 |0,000004  |308,261800  |532   |243   |
|58 |0,000004  |315,216100  |498   |248   |
|59 |0,000004  |322,523900  |517   |256   |
|60 |0,000004  |329,822500  |539   |263   |
|61 |0,000004  |338,002800  |542   |269   |
|62 |0,000004  |344,240600  |572   |275   |
|63 |0,000005  |352,460200  |593   |279   |
|64 |0,000005  |359,743200  |608   |279   |
|65 |0,000005  |367,435400  |612   |284   |
|66 |0,000005  |375,047400  |637   |296   |
|67 |0,000005  |382,004400  |618   |302   |
|68 |0,000005  |390,027900  |579   |307   |
|69 |0,000005  |397,928800  |658   |315   |
|70 |0,000005  |405,395000  |672   |323   |
|71 |0,000005  |413,284900  |644   |330   |
|72 |0,000005  |420,654400  |668   |337   |
|73 |0,000005  |428,932100  |687   |343   |
|74 |0,000005  |436,300700  |700   |345   |
|75 |0,000005  |443,948900  |726   |350   |
|76 |0,000006  |451,536800  |699   |357   |
|77 |0,000006  |459,164800  |806   |367   |
|78 |0,000006  |467,179600  |709   |375   |
|79 |0,000006  |474,972100  |740   |376   |
|80 |0,000006  |483,415500  |827   |387   |
|81 |0,000006  |490,855800  |790   |394   |
|82 |0,000006  |499,284700  |786   |396   |
|83 |0,000006  |507,557400  |844   |404   |
|84 |0,000006  |515,423600  |836   |416   |
|85 |0,000006  |523,211700  |825   |417   |
|86 |0,000006  |531,403000  |821   |428   |
|87 |0,000006  |539,488200  |783   |439   |
|88 |0,000007  |547,570600  |805   |445   |
|89 |0,000007  |556,569300  |905   |446   |
|90 |0,000007  |563,378600  |865   |450   |
|91 |0,000007  |571,762500  |914   |461   |
|92 |0,000007  |581,017400  |929   |455   |
|93 |0,000007  |589,666900  |954   |471   |
|94 |0,000007  |597,025300  |955   |472   |
|95 |0,000007  |604,740200  |972   |492   |
|96 |0,000007  |613,515900  |944   |492   |
|97 |0,000007  |622,973800  |1009  |500   |
|98 |0,000007  |631,037000  |966   |508   |
|99 |0,000007  |638,376600  |986   |509   |
|100|0,000008  |645,889300  |974   |526   |

