|N  |clock_time|AVERAGE_OB  |MAX_OB|MIN_OB|
|10 |0,000001  |49,131600   |54    |48    |
|11 |0,000001  |55,481600   |62    |54    |
|12 |0,000001  |61,945700   |71    |60    |
|13 |0,000001  |68,640300   |80    |66    |
|14 |0,000001  |75,339500   |89    |72    |
|15 |0,000001  |82,215600   |99    |78    |
|16 |0,000001  |89,193400   |106   |85    |
|17 |0,000001  |96,348100   |118   |92    |
|18 |0,000001  |103,511200  |124   |99    |
|19 |0,000001  |110,736100  |136   |106   |
|20 |0,000001  |118,107500  |147   |113   |
|21 |0,000001  |125,430900  |155   |120   |
|22 |0,000001  |133,018900  |159   |127   |
|23 |0,000001  |140,602200  |169   |134   |
|24 |0,000001  |148,210900  |183   |141   |
|25 |0,000002  |155,995400  |192   |148   |
|26 |0,000002  |163,678000  |202   |155   |
|27 |0,000002  |171,649300  |209   |162   |
|28 |0,000002  |179,530700  |225   |169   |
|29 |0,000002  |187,518000  |233   |176   |
|30 |0,000002  |195,655000  |246   |183   |
|31 |0,000002  |203,559400  |254   |190   |
|32 |0,000002  |211,825800  |258   |199   |
|33 |0,000002  |219,965800  |285   |207   |
|34 |0,000002  |228,299600  |286   |214   |
|35 |0,000002  |236,597900  |290   |223   |
|36 |0,000002  |244,973200  |295   |230   |
|37 |0,000002  |253,239000  |320   |238   |
|38 |0,000003  |261,737600  |321   |246   |
|39 |0,000003  |270,230400  |343   |254   |
|40 |0,000003  |279,001400  |352   |262   |
|41 |0,000003  |287,157400  |360   |270   |
|42 |0,000003  |295,899300  |368   |278   |
|43 |0,000003  |304,669300  |373   |286   |
|44 |0,000003  |313,028900  |392   |294   |
|45 |0,000003  |321,745100  |393   |302   |
|46 |0,000003  |330,786300  |411   |310   |
|47 |0,000003  |339,364500  |415   |318   |
|48 |0,000003  |348,579000  |432   |326   |
|49 |0,000003  |357,020100  |442   |335   |
|50 |0,000004  |365,941900  |445   |343   |
|51 |0,000004  |374,733400  |475   |351   |
|52 |0,000004  |383,923800  |471   |359   |
|53 |0,000004  |393,024200  |470   |369   |
|54 |0,000004  |402,029800  |502   |376   |
|55 |0,000004  |411,038200  |500   |384   |
|56 |0,000004  |420,079000  |525   |394   |
|57 |0,000004  |429,052300  |518   |401   |
|58 |0,000004  |438,171700  |519   |410   |
|59 |0,000004  |447,480000  |548   |419   |
|60 |0,000004  |456,726900  |564   |427   |
|61 |0,000004  |465,787700  |559   |435   |
|62 |0,000004  |475,336400  |606   |444   |
|63 |0,000005  |484,774500  |627   |453   |
|64 |0,000005  |493,614400  |619   |462   |
|65 |0,000005  |503,156000  |620   |471   |
|66 |0,000005  |512,485900  |640   |480   |
|67 |0,000005  |521,951000  |643   |486   |
|68 |0,000005  |531,202100  |634   |497   |
|69 |0,000005  |540,691500  |665   |505   |
|70 |0,000005  |550,477200  |674   |513   |
|71 |0,000005  |559,844100  |676   |522   |
|72 |0,000005  |569,355700  |731   |533   |
|73 |0,000005  |578,732700  |700   |539   |
|74 |0,000006  |587,822600  |718   |551   |
|75 |0,000006  |598,280500  |720   |557   |
|76 |0,000006  |607,612500  |737   |566   |
|77 |0,000006  |616,894700  |747   |576   |
|78 |0,000006  |626,727700  |764   |587   |
|79 |0,000006  |636,377300  |783   |594   |
|80 |0,000006  |646,195500  |806   |604   |
|81 |0,000006  |656,032200  |815   |612   |
|82 |0,000006  |665,770500  |843   |622   |
|83 |0,000006  |675,443700  |821   |632   |
|84 |0,000006  |685,051800  |837   |638   |
|85 |0,000006  |694,993600  |858   |650   |
|86 |0,000007  |704,922900  |858   |659   |
|87 |0,000007  |714,467900  |897   |666   |
|88 |0,000007  |724,228300  |886   |678   |
|89 |0,000007  |734,802200  |881   |685   |
|90 |0,000007  |744,587800  |927   |694   |
|91 |0,000007  |753,909500  |942   |703   |
|92 |0,000007  |764,222400  |971   |713   |
|93 |0,000007  |774,038400  |951   |723   |
|94 |0,000007  |784,721000  |956   |734   |
|95 |0,000007  |794,118500  |958   |742   |
|96 |0,000007  |803,345900  |938   |751   |
|97 |0,000007  |814,070000  |1041  |758   |
|98 |0,000008  |823,937900  |1012  |767   |
|99 |0,000008  |834,718700  |1025  |780   |
|100|0,000008  |844,115300  |1030  |787   |

